,path,brand,model,brand-model
0,Dataset_Y/Audi/A1/3474.jpg,Audi,A1,Audi A1
1,Dataset_Y/Audi/A1/3475.jpg,Audi,A1,Audi A1
2,Dataset_Y/Audi/A1/3476.jpg,Audi,A1,Audi A1
3,Dataset_Y/Audi/A1/3477.jpg,Audi,A1,Audi A1
4,Dataset_Y/Audi/A1/3478.jpg,Audi,A1,Audi A1
5,Dataset_Y/Audi/A1/3479.jpg,Audi,A1,Audi A1
6,Dataset_Y/Audi/A1/3480.jpg,Audi,A1,Audi A1
7,Dataset_Y/Audi/A1/3481.jpg,Audi,A1,Audi A1
8,Dataset_Y/Audi/A1/5699.jpg,Audi,A1,Audi A1
9,Dataset_Y/Audi/A1/5700.jpg,Audi,A1,Audi A1
10,Dataset_Y/Audi/A1/5701.jpg,Audi,A1,Audi A1
11,Dataset_Y/Audi/A1/5702.jpg,Audi,A1,Audi A1
12,Dataset_Y/Audi/A1/5703.jpg,Audi,A1,Audi A1
13,Dataset_Y/Audi/A1/5704.jpg,Audi,A1,Audi A1
14,Dataset_Y/Audi/A1/5705.jpg,Audi,A1,Audi A1
15,Dataset_Y/Audi/A1/_5698_.jpg,Audi,A1,Audi A1
16,Dataset_Y/Audi/A3/10131.jpg,Audi,A3,Audi A3
17,Dataset_Y/Audi/A3/10132.jpg,Audi,A3,Audi A3
18,Dataset_Y/Audi/A3/10133.jpg,Audi,A3,Audi A3
19,Dataset_Y/Audi/A3/10134.jpg,Audi,A3,Audi A3
20,Dataset_Y/Audi/A3/10135.jpg,Audi,A3,Audi A3
21,Dataset_Y/Audi/A3/10136.jpg,Audi,A3,Audi A3
22,Dataset_Y/Audi/A3/10137.jpg,Audi,A3,Audi A3
23,Dataset_Y/Audi/A3/10138.jpg,Audi,A3,Audi A3
24,Dataset_Y/Audi/A3/10156.jpg,Audi,A3,Audi A3
25,Dataset_Y/Audi/A3/10157.jpg,Audi,A3,Audi A3
26,Dataset_Y/Audi/A3/10158.jpg,Audi,A3,Audi A3
27,Dataset_Y/Audi/A3/10159.jpg,Audi,A3,Audi A3
28,Dataset_Y/Audi/A3/10160.jpg,Audi,A3,Audi A3
29,Dataset_Y/Audi/A3/10161.jpg,Audi,A3,Audi A3
30,Dataset_Y/Audi/A3/10162.jpg,Audi,A3,Audi A3
31,Dataset_Y/Audi/A3/10163.jpg,Audi,A3,Audi A3
32,Dataset_Y/Audi/A3/10436.jpg,Audi,A3,Audi A3
33,Dataset_Y/Audi/A3/10437.jpg,Audi,A3,Audi A3
34,Dataset_Y/Audi/A3/10438.jpg,Audi,A3,Audi A3
35,Dataset_Y/Audi/A3/10439.jpg,Audi,A3,Audi A3
36,Dataset_Y/Audi/A3/10440.jpg,Audi,A3,Audi A3
37,Dataset_Y/Audi/A3/10441.jpg,Audi,A3,Audi A3
38,Dataset_Y/Audi/A3/10442.jpg,Audi,A3,Audi A3
39,Dataset_Y/Audi/A3/10443.jpg,Audi,A3,Audi A3
40,Dataset_Y/Audi/A3/10485.jpg,Audi,A3,Audi A3
41,Dataset_Y/Audi/A3/10486.jpg,Audi,A3,Audi A3
42,Dataset_Y/Audi/A3/10487.jpg,Audi,A3,Audi A3
43,Dataset_Y/Audi/A3/10488.jpg,Audi,A3,Audi A3
44,Dataset_Y/Audi/A3/10489.jpg,Audi,A3,Audi A3
45,Dataset_Y/Audi/A3/10490.jpg,Audi,A3,Audi A3
46,Dataset_Y/Audi/A3/10491.jpg,Audi,A3,Audi A3
47,Dataset_Y/Audi/A3/10492.jpg,Audi,A3,Audi A3
48,Dataset_Y/Audi/A3/10609.jpg,Audi,A3,Audi A3
49,Dataset_Y/Audi/A3/10610.jpg,Audi,A3,Audi A3
50,Dataset_Y/Audi/A3/10611.jpg,Audi,A3,Audi A3
51,Dataset_Y/Audi/A3/10612.jpg,Audi,A3,Audi A3
52,Dataset_Y/Audi/A3/10613.jpg,Audi,A3,Audi A3
53,Dataset_Y/Audi/A3/10614.jpg,Audi,A3,Audi A3
54,Dataset_Y/Audi/A3/10615.jpg,Audi,A3,Audi A3
